sample_id,phase,worker,train_index,active_edge_ratio_by_turn,active_node_ratio_by_turn,candidate_provenance_coverage,recovery_subgraph_size,final_answer_source_type
mbpp:389,phase3a,2,13,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.5, 0.5, 0.5, 0.5, 0.5]",0.9333333333333333,0.0,stage1
mbpp:39,phase2,0,48,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888, 0.8888888888888888]",0.9375,0.0,stage1
mbpp:39,phase3a,0,48,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143, 0.7142857142857143]",0.9375,0.0,stage1
mbpp:398,phase2,0,0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9411764705882353,0.0,stage1
mbpp:398,phase3a,0,0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9411764705882353,0.0,stage1
mbpp:405,phase2,1,49,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.75, 0.75, 0.75, 0.75, 0.75]",1.0,0.0,sink_output
mbpp:405,phase3a,1,49,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,checker_approved_proposal
mbpp:419,phase2,2,11,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9230769230769231,0.0,stage1
mbpp:419,phase3a,2,11,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334]",1.0,0.0,checker_approved_proposal
mbpp:441,phase2,2,36,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334]",0.8,0.0,stage1
mbpp:441,phase3a,2,36,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.8571428571428571,0.0,stage1
mbpp:445,phase2,2,35,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9444444444444444,0.0,stage1
mbpp:445,phase3a,2,35,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",0.9375,0.0,stage1
mbpp:451,phase2,2,57,"[1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 1.0, 1.0, 1.0, 1.0]",1.0,0.0,sink_output
mbpp:451,phase3a,2,57,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.875, 0.625, 0.625, 0.875, 0.875]",1.0,0.0,sink_output
